x,T
0.0,0.0
0.01,0.047699954
0.02,0.09539991
0.03,0.14309986
0.04,0.19079979
0.049999997,0.23849973
0.06,0.2861997
0.07,0.33389965
0.08,0.38159963
0.089999996,0.4292996
0.099999994,0.47699955
0.11,0.5246995
0.12,0.5723995
0.13,0.6200995
0.14,0.6677995
0.14999999,0.7154994
0.16,0.7631993
0.17,0.81089926
0.17999999,0.85859925
0.19,0.90629923
0.19999999,0.9539992
0.21,1.0016991
0.22,1.047399
0.22999999,1.091099
0.24,1.132799
0.25,1.1724991
0.26,1.2101991
0.26999998,1.2458993
0.28,1.2795994
0.29,1.3112996
0.29999998,1.3409997
0.31,1.3686999
0.32,1.3944
0.32999998,1.4181
0.34,1.4398
0.35,1.4595001
0.35999998,1.4771999
0.37,1.4928999
0.38,1.5065998
0.39,1.5182996
0.39999998,1.5279995
0.41,1.5356992
0.42,1.5413989
0.42999998,1.5450987
0.44,1.5467985
0.45,1.5464984
0.45999998,1.5441985
0.47,1.5398986
0.48,1.5335988
0.48999998,1.525299
0.5,1.5149993
0.51,1.5046997
0.52,1.4944
0.53,1.4841003
0.53999996,1.4738007
0.55,1.463501
0.56,1.4532013
0.57,1.4429016
0.58,1.4326019
0.59,1.4223021
0.59999996,1.4120022
0.61,1.4017023
0.62,1.3914024
0.63,1.3811024
0.64,1.3708025
0.65,1.3605026
0.65999997,1.3502028
0.66999996,1.3399029
0.68,1.329603
0.69,1.319303
0.7,1.3090031
0.71,1.2987032
0.71999997,1.2884032
0.72999996,1.2781031
0.74,1.2678031
0.75,1.257503
0.76,1.2472031
0.77,1.2369031
0.78,1.226603
0.78999996,1.216303
0.79999995,1.206003
0.81,1.1957028
0.82,1.1854026
0.83,1.1751026
0.84,1.1648024
0.84999996,1.1545022
0.85999995,1.144202
0.87,1.1339018
0.88,1.1236017
0.89,1.1133015
0.9,1.1030014
0.90999997,1.0927013
0.91999996,1.0824012
0.93,1.072101
0.94,1.0618011
0.95,1.051501
0.96,1.0412009
0.96999997,1.0309007
0.97999996,1.0206004
0.98999995,1.0103002
1.0,1.0
